Word,Lemma,Length,SubtlexZipf,Ortho_N,Phono_N,OLD,PLD,NPhon,NSyll,NMorph,AoA,Prevalence,I_Mean_RT,I_Zscore,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_Mean_Accuracy,Prev_ELP_LDT
abandon,abandon,7,3.91,0,0,2.9,2.45,7,3,1,8.32,2.43,695.72,-0.31,0.97,623.96,-0.52,1,1.82
abandoned,abandoned,9,4.12,0,0,3.55,2.6,8,3,2,8.32,2.58,860.77,-0.09,0.91,635.16,-0.49,1,1.32
abandoning,abandon,10,3.23,0,0,3.7,3.3,9,4,2,8.32,2.43,740.55,-0.11,1,782.78,0.06,0.92,2.58
abandonment,abandonment,11,2.99,0,0,4.4,4.45,11,4,2,10.4798,2.18,771.09,0,1,794.7,0.21,0.96,2.58
abbreviate,abbreviate,10,1.59,0,0,4.05,3.7,8,4,3,9.95,2.17,795.03,0.16,0.94,708.44,-0.09,0.96,1.52
abbreviated,abbreviated,11,2.52,0,0,4.2,4.15,10,5,4,10.5,2.32,698.45,-0.25,0.94,695.63,-0.26,1,1.52
abbreviation,abbreviation,12,2.41,0,0,4,3.8,9,5,4,9.11,2.35,728.91,-0.02,1,714.93,-0.04,1,2.58
abbreviations,abbreviation,13,2.33,0,0,4.35,4.1,10,5,5,9.11,2.35,729.13,-0.12,0.91,689.48,-0.11,1,1.32
abdomen,abdomen,7,3.53,0,0,3,3,7,3,1,9.7632,2.58,806.13,0.01,0.89,758.67,-0.02,0.96,1.21
abdominal,abdominal,9,3.53,0,0,3.75,4,8,4,2,10.24,2.25,715.55,-0.13,0.94,737.76,0.05,0.88,1.52
abduct,abduct,6,2.86,0,0,2.5,2.55,6,2,2,10.46779394,2.32,769.67,0.03,0.88,707.81,-0.21,1,1.16
abduction,abduction,9,3.56,0,0,2.7,2.65,7,3,3,11.94,2.44,795.88,0.01,0.94,667.38,-0.32,0.93,1.52
abide,abide,5,3.43,3,3,1.7,1.85,4,2,1,9.99085,2.19,773.21,-0.18,0.94,633.83,-0.3,1,1.52
abides,abide,6,1.99,0,0,1.9,1.95,5,2,2,9.99085,2.19,750.63,-0.05,0.82,696.22,-0.29,1,0.90
abiding,abiding,7,2.71,0,0,2.15,1.95,6,3,2,10.3,2.07,784.67,0.05,0.82,620.16,-0.36,0.96,0.90
abilities,ability,9,3.79,0,0,2.95,2.75,8,4,3,8.90485,2.33,657.06,-0.49,0.97,711.81,-0.14,0.96,1.82
ability,ability,7,4.28,1,1,2.3,2.3,7,4,2,8.90485,2.33,619.68,-0.48,0.97,580.39,-0.72,1,1.82
able,able,4,5.20,2,2,1.5,1.55,3,2,1,6.604859773,2.44,623.3,-0.5,1,628.21,-0.6,1,2.58
abnormal,abnormal,8,3.47,0,0,3.1,3.35,7,3,3,10.05,2.44,684.91,-0.19,1,673.38,-0.31,1,2.58
abnormalities,abnormality,13,2.71,0,0,4.6,5.2,12,5,5,11.58,2.43,901.26,0.3,0.91,726.61,0.23,1,1.32
abnormality,abnormality,11,2.72,0,0,3.6,4.45,11,5,4,11.58,2.43,781.44,0.03,1,671.48,-0.31,0.93,2.58
aboard,aboard,6,4.43,0,5,2.3,1.6,5,2,1,7.776213636,2.33,628.16,-0.52,0.94,654.87,-0.48,0.88,1.52
abode,abode,5,2.82,3,2,1.8,1.85,4,2,1,9.99085,1.92,855.83,0.27,0.88,665.96,-0.3,0.89,1.16
abolish,abolish,7,2.69,0,0,2.8,2.8,6,3,1,10.42,2.24,703.22,-0.26,0.97,654.76,-0.46,1,1.82
abolished,abolish,9,2.61,0,0,3.4,3.1,7,3,2,10.42,2.24,664.63,-0.36,0.97,659.32,-0.34,1,1.82
abolition,abolition,9,2.33,0,0,2.85,2.95,7,4,2,13.28,2.00,834.33,0.08,0.91,904.14,0.41,0.88,1.32
abolitionist,abolitionist,12,2.37,0,0,4.3,4.95,10,5,3,12.6,1.69,982.89,0.64,0.9,917.08,0.76,0.86,1.26
abolitionists,abolitionist,13,2.44,0,0,4.75,5.2,11,5,4,12.6,1.69,1010.97,0.78,0.97,859.38,0.55,0.89,1.82
abominable,abominable,10,2.81,0,0,3.45,4,9,5,2,8.94,2.27,829.07,0.27,0.93,899.21,0.74,0.76,1.44
abominate,abominate,9,1.89,0,0,2.95,2.85,8,4,2,15,1.22,888.59,0.51,0.82,849,0.68,0.88,0.90
abort,abort,5,3.66,1,2,1.95,1.9,5,2,1,11.18548485,2.35,672.48,-0.41,0.97,583.7,-0.63,1,1.82
abortion,abortion,8,3.86,0,1,2.55,2.55,6,3,2,13.21,2.43,686.45,-0.32,0.97,660.69,-0.21,1,1.82
abortionist,abortionist,11,1.99,0,0,4.1,4.1,9,4,3,15,1.65,833.82,0.12,0.97,807.79,0.2,1,1.82
abortions,abortion,9,2.85,0,0,2.75,2.65,7,3,3,13.21,2.43,774.63,-0.2,0.97,643.48,-0.34,0.96,1.82
abortive,abortive,8,1.59,0,0,2.85,2.75,7,3,2,13.93,1.37,881.08,0.14,0.79,713.44,-0.07,0.96,0.80
abound,abound,6,2.57,1,0,1.85,1.9,5,2,1,11.65,1.95,768.9,-0.07,0.91,596.33,-0.65,1,1.32
abounded,abound,8,1.89,0,2,2.2,2,7,3,2,11.65,1.95,832.31,0.17,0.88,685.54,-0.28,0.92,1.16
abounding,abounding,9,1.99,0,2,2.4,2,7,3,2,11.65,1.57,884.52,0.28,0.91,657,-0.34,0.96,1.32
abounds,abound,7,2.33,0,0,2.2,2.3,6,2,2,11.65,1.95,678.9,-0.28,0.89,614.67,-0.54,0.96,1.21
about,about,5,6.56,1,3,1.85,1.95,4,2,1,5.302132121,2.58,628.19,-0.56,0.94,560.43,-0.77,0.97,1.52
above,above,5,4.69,1,1,1.95,1.95,4,2,1,4.791637727,2.44,564.33,-0.85,0.94,561.39,-0.72,1,1.52
aboveground,aboveground,11,2.19,0,0,4.65,4.65,9,3,2,8.05,1.02,830.65,0.19,0.94,755.89,0.1,1,1.52
abrasion,abrasion,8,2.57,0,0,2.9,2.8,6,3,2,11.95,1.68,807.35,0.08,0.79,743.31,-0.05,0.96,0.80
abrasive,abrasive,8,2.67,0,0,2.9,2.7,7,3,2,12.22,1.96,710.59,-0.25,0.94,635.54,-0.43,0.96,1.52
abreast,abreast,7,2.72,0,3,2.7,1.75,6,2,1,12.86438788,1.60,846.48,0.41,0.94,711,-0.16,0.92,1.52
abridged,abridged,8,2.29,0,0,2.85,2.9,6,2,2,12.56,1.88,927.29,0.24,0.91,758.54,0.05,1,1.32
